trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
HEF.HE_20250101092127_HH_EV,HEF,4208,1,4391,0.24718186259269714,4391,0.24718186259269714,-183,1.83,False,,,
KLF.FN_20251012115422_BH_EV,KLF,4012,1,4020,0.18498212099075317,4020,0.18498212099075317,-8,0.08,True,,,
KPF.HE_20251120230904_HH_EV,KPF,5500,2,5514,0.21534201502799988,5514,0.21534201502799988,-14,0.14,True,5514,-14,0.14
KU2.HE_20250402133325_SH_EV,KU2,5365,2,4391,0.2518499791622162,5998,0.10172897577285767,-633,6.33,False,4391,,
KAF.HE_20250727015842_HH_EV,KAF,4540,1,4481,0.2095547318458557,4481,0.2095547318458557,59,0.59,False,,,
HEL5.HE_20250801001949_HH_EV,HEL5,4208,1,4225,0.41336795687675476,4225,0.41336795687675476,-17,0.17,True,4225,-17,0.17
RUF.HE_20250613143736_HH_EV,RUF,2620,1,2629,0.4804818332195282,2629,0.4804818332195282,-9,0.09,True,2629,-9,0.09
KU2.HE_20251117222830_CH_EV,KU2,5341,1,5343,0.48224887251853943,5343,0.48224887251853943,-2,0.02,True,5343,-2,0.02
KORF.HE_20250727015719_CH_EV,KORF,4095,2,4093,0.4661048352718353,4093,0.4661048352718353,2,0.02,True,4093,2,0.02
KY02.HE_20250906050204_CH_EV,KY02,5331,1,5329,0.4693700075149536,5329,0.4693700075149536,2,0.02,True,5329,2,0.02
FIA1.HE_20250613143804_HH_EV,FIA1,4078,1,4209,0.271777480840683,4209,0.271777480840683,-131,1.31,False,4209,,
FIA1.HE_20250703171922_HH_EV,FIA1,4413,1,4277,0.18600347638130188,4277,0.18600347638130188,136,1.36,False,,,
KY02.HE_20250730081713_CH_EV,KY02,5296,1,5291,0.2947654724121094,5291,0.2947654724121094,5,0.05,True,5291,5,0.05
MSF.FN_20250125042803_BH_EV,MSF,5172,1,5133,0.22506779432296753,5133,0.22506779432296753,39,0.39,True,5133,,
OBF0.HE_20250228003111_HH_EV,OBF0,3707,1,3575,0.21768847107887268,3575,0.21768847107887268,132,1.32,False,3575,,
HEL5.HE_20250514214550_HH_EV,HEL5,2490,2,5998,0.19203409552574158,2319,0.11055159568786621,171,1.71,False,,,
MEF.HE_20251222221608_HH_EV,MEF,3361,1,3355,0.4861469268798828,3355,0.4861469268798828,6,0.06,True,3355,6,0.06
RANF.FN_20250826105223_BH_EV,RANF,5115,2,5087,0.26150283217430115,5087,0.26150283217430115,28,0.28,True,5087,,
RUF.HE_20250125132030_HH_EV,RUF,2015,1,2001,0.26306742429733276,2001,0.26306742429733276,14,0.14,True,2001,14,0.14
OBF0.HE_20250413021657_HH_EV,OBF0,4084,1,4003,0.2513957917690277,4003,0.2513957917690277,81,0.81,False,4003,,
KJNF.HE_20250906180901_CH_EV,KJNF,5041,1,5035,0.47099292278289795,5035,0.47099292278289795,6,0.06,True,5035,6,0.06
MSF.FN_20250824104222_BH_EV,MSF,1242,1,1247,0.4680795669555664,1247,0.4680795669555664,-5,0.05,True,1247,-5,0.05
KU1.HE_20250621164109_SH_EV,KU1,5002,1,5007,0.3322117328643799,5007,0.3322117328643799,-5,0.05,True,5007,-5,0.05
RAJF.FN_20250117181114_BH_EV,RAJF,3015,1,2981,0.38914820551872253,2981,0.38914820551872253,34,0.34,True,2981,,
RANF.FN_20250220231936_BH_EV,RANF,3467,1,3473,0.4046413004398346,3473,0.4046413004398346,-6,0.06,True,3473,-6,0.06
RANF.FN_20250123181837_BH_EV,RANF,2700,1,2817,0.23360538482666016,2817,0.23360538482666016,-117,1.17,False,2817,,
KY02.HE_20250701212311_CH_EV,KY02,5413,1,5417,0.35108011960983276,5417,0.35108011960983276,-4,0.04,True,5417,-4,0.04
SGF.FN_20250120005030_BH_EV,SGF,4778,1,4772,0.26719725131988525,4772,0.26719725131988525,6,0.06,True,4772,6,0.06
RNF.FN_20251209140744_BH_EV,RNF,4239,1,4175,0.2035154104232788,4175,0.2035154104232788,64,0.64,False,4175,,
KY17.HE_20250629201500_CH_EV,KY17,3641,1,3651,0.4609479010105133,3651,0.4609479010105133,-10,0.1,True,3651,-10,0.1
KIF.HE_20250316030135_HH_EV,KIF,4376,1,4367,0.48314476013183594,4367,0.48314476013183594,9,0.09,True,4367,9,0.09
KMNF.FN_20251218005712_BH_EV,KMNF,3667,1,5998,0.18021512031555176,5998,0.18021512031555176,-2331,23.31,False,,,
KEV.HE_20251125064747_HH_EV,KEV,1711,1,1705,0.47646450996398926,1705,0.47646450996398926,6,0.06,True,1705,6,0.06
RAJF.FN_20250708015408_BH_EV,RAJF,4501,1,4345,0.13475453853607178,4345,0.13475453853607178,156,1.56,False,,,
RAF.HE_20250903113356_HH_EV,RAF,5365,2,5372,0.3803492784500122,5372,0.3803492784500122,-7,0.07,True,5372,-7,0.07
RNF.FN_20250904120830_BH_EV,RNF,4709,1,4901,0.2940939664840698,4901,0.2940939664840698,-192,1.92,False,4901,,
